"","playerId","season","name","team","position","games_played","icetime","shifts","gameScore","I_F_xGoals","I_F_xRebounds","Assists","I_F_points","I_F_goals","I_F_rebounds","I_F_hits","I_F_takeaways","I_F_giveaways","lowDangerGoaAbvExp","medDangerGoaAbvExp","highDangerGoaAbvExp","faceoffsWon","penalityMinutes","penalityMinutesDrawn","shotsBlockedByPlayer","subsetclust1"
"317",8479400,2022,"Pierre-Luc Dubois","WPG","L",73,80819,1609,66.35,29.91,19.49,36,63,27,24,71,40,47,-0.94,-0.14,3.99,483,77,77,47,2
"318",8480830,2021,"Andrei Svechnikov","CAR","R",78,80776,1626,79.62,31.74,18.69,39,69,30,29,189,44,72,-0.83,3.88,-1.31,0,79,57,15,2
"319",8477409,2023,"Carter Verhaeghe","FLA","C",75,80776,1606,85.36,30.61,17.5,38,71,33,20,63,39,37,-7.28,0.38,4.51,37,36,18,19,2
"320",8481533,2021,"Trevor Zegras","ANA","C",75,80582,1580,58.22,16.67,12.99,38,61,23,15,56,40,71,-3.1,-3.21,-0.02,217,40,50,27,2
"321",8470604,2021,"Jeff Carter","PIT","C",76,80579,1795,41.84,22.52,12.95,26,45,19,18,99,33,39,1.89,-2.04,3.67,648,38,22,50,2
"322",8477500,2019,"Bo Horvat","VAN","C",69,80578,1735,52.95,26.22,12.26,31,53,22,16,54,28,27,2.02,3.5,-1.3,842,21,31,65,2
"323",8480015,2022,"Owen Tippett","PHI","R",77,80514,1763,51.95,24.25,16.3,22,49,27,20,125,44,25,-3.74,-0.12,1.09,19,16,32,69,2
"324",8477404,2023,"Jake Guentzel","CAR","C",67,80483,1549,92.59,38.64,20.38,47,77,30,36,48,33,26,-1.35,1.9,8.09,6,22,48,28,2
"325",8481528,2023,"Dylan Cozens","BUF","C",78,80434,1676,46.42,22.71,13.07,28,44,16,29,107,25,36,-0.39,4.12,2.98,510,32,46,27,2
"326",8482079,2023,"Marco Rossi","MIN","C",80,80414,1443,45.99,20,13.34,17,38,21,21,35,33,21,-1.56,-1.88,2.43,325,37,55,37,2
"327",8480027,2021,"Jason Robertson","DAL","L",74,80414,1681,87.45,30.15,16.17,38,79,41,25,50,48,50,-6.34,-0.99,-3.52,0,22,14,24,2
"328",8477956,2021,"David Pastrnak","BOS","R",72,80372,1463,98.73,31.08,21.8,37,77,40,16,63,36,77,-0.6,-8.27,-0.04,7,20,44,14,2
"329",8480801,2019,"Brady Tkachuk","OTT","L",71,80317,1772,54.78,32.57,21.87,22,43,21,31,302,35,40,1.18,6.74,3.66,144,76,88,43,2
"330",8476479,2019,"Phillip Danault","MTL","C",71,80199,1814,65.78,16.87,9.52,34,47,13,9,119,34,50,2.04,2.08,-0.25,728,32,32,38,2
"331",8481528,2022,"Dylan Cozens","BUF","C",81,80175,1743,61.87,25.79,14.98,37,68,31,23,55,36,20,-2.31,-3.34,0.45,567,41,49,30,2
"332",8476539,2021,"Jonathan Marchessault","VGK","C",76,80161,1606,79.34,24.36,16.84,36,66,30,15,61,38,46,-1.69,-2.34,-1.62,43,26,16,17,2
"333",8474009,2021,"Nick Bonino","SJS","C",80,80159,1876,13.02,13.86,9.96,10,26,16,15,34,50,15,-2.48,-0.57,0.91,475,18,12,102,2
"334",8477402,2021,"Pavel Buchnevich","STL","L",73,80155,1643,73.75,22.29,12.82,46,76,30,11,57,46,41,-3.48,-2.97,-1.26,13,34,34,15,2
"335",8478463,2022,"Anthony Beauvillier","VAN","L",82,80032,1718,38.48,18.67,12.37,22,40,18,13,78,32,34,0.59,0.08,-0.01,3,24,22,30,2
"336",8476456,2022,"Jonathan Huberdeau","CGY","C",79,79936,1749,62.75,17.51,10.52,40,55,15,11,65,34,62,-0.22,1.43,1.28,5,36,42,27,2
"337",8474715,2021,"Cam Atkinson","PHI","R",73,79920,1835,47.41,24.76,14.93,27,50,23,26,20,37,28,-1.56,1.07,2.25,5,10,10,45,2
"338",8477964,2021,"Ivan Barbashev","STL","C",81,79906,1676,36.32,18.55,8.8,34,60,26,10,160,44,46,-3.28,-1.7,-2.47,131,40,34,28,2
"339",8474641,2023,"Adam Henrique","EDM","C",79,79859,1698,44.31,20.07,10.93,25,48,23,18,97,30,18,0.63,0.89,-4.45,564,27,27,75,2
"340",8475287,2022,"Erik Haula","NJD","L",80,79829,1789,53.44,22.08,11.9,27,41,14,15,92,49,30,2.04,1.86,4.18,573,47,23,54,2
"341",8475791,2021,"Taylor Hall","BOS","L",81,79761,1572,71.39,20.58,14.05,41,61,20,13,55,33,48,0.65,1.75,-1.81,18,42,38,36,2
"342",8482093,2022,"Seth Jarvis","CAR","C",82,79721,1604,63.79,25.2,15.05,25,39,14,20,73,37,30,3.02,2.25,5.93,9,12,28,48,2
"343",8476454,2019,"Ryan Nugent-Hopkins","EDM","C",65,79646,1383,55.8,18.13,11.49,39,61,22,16,33,54,39,-2.39,-1.44,-0.04,205,33,23,43,2
"344",8474586,2023,"Jordan Eberle","SEA","R",76,79639,1617,55.12,22.22,13.84,27,44,17,20,29,59,20,-2.33,3.65,3.9,31,15,27,23,2
"345",8476925,2023,"Colton Sissons","NSH","C",80,79604,1836,34.99,20.59,12.22,20,35,15,18,137,33,31,2.65,1.85,1.09,615,36,34,57,2
"346",8477956,2019,"David Pastrnak","BOS","R",70,79594,1451,99.91,29.94,19.53,47,95,48,16,47,49,88,-5.63,-8.79,-3.65,7,40,46,22,2
"347",8470638,2021,"Patrice Bergeron","BOS","C",73,79585,1682,101.69,31.5,18.46,40,65,25,25,78,37,21,1.21,3.17,2.13,991,32,24,45,2
