playerId,season,name,team,position,games_played,icetime,GoalsSavedAbvExp,xGoals,goals,ReboundsAbvExp,XPlayConAbvExp,lowDangerGoalAbvExp,medDangerGoalAbvExp,highDangerGoalAbvExp,penalityMinutes
8479292,2023,Charlie Lindgren,WSH,G,50,171143,10.54,137.54,127,-23.98,116.4,-5.74,-5.77,22.06,0
8475683,2022,Sergei Bobrovsky,FLA,G,50,170062,6.2,151.2,145,-45.52,185.93,-8.04,5.26,8.97,2
8478916,2023,Joey Daccord,SEA,G,50,169967,3.76,119.76,116,-41.74,91.02,3.73,-6.92,6.95,0
8474593,2023,Jacob Markstrom,CGY,G,48,169867,13.7,144.7,131,-52.19,81.43,-17.44,15.21,15.93,0
8481035,2023,Samuel Ersson,PHI,G,51,168568,-4.76,127.24,132,-53.81,51.27,-12.61,-5.76,13.61,4
8478971,2023,Connor Ingram,ARI,G,50,168176,8.31,144.31,136,-44.62,104.69,-13.66,7.97,14,0
8475789,2021,Jack Campbell,TOR,G,49,167724,-2.34,120.66,123,1.69,214.01,5.07,-6.35,-1.05,0
8478872,2021,Karel Vejmelka,ARI,G,52,166394,-23.2,146.8,170,-25.07,199.87,-16.21,-2.83,-4.16,0
8477465,2023,Tristan Jarry,PIT,G,51,164438,2.62,135.62,133,-46.5,95.9,0.74,-6.72,8.6,4
8479979,2021,Jake Oettinger,DAL,G,48,162456,1.43,115.43,114,2.39,147.81,-12.32,7.63,6.12,0
8471734,2021,Jonathan Quick,LAK,G,46,161152,17.8,133.8,116,-30.06,171.64,7.24,-1.15,11.71,6
8473503,2021,James Reimer,SJS,G,48,160361,0.12,129.12,129,1.91,133.87,0.51,-4.71,4.33,0
8470594,2022,Marc-Andre Fleury,MIN,G,46,159257,6.55,132.55,126,-29.94,147.65,-4.84,-4.79,16.18,2
8477465,2022,Tristan Jarry,PIT,G,47,159002,-2.82,125.18,128,-12.56,104.49,8.93,-10.43,-1.32,2
8480313,2023,Logan Thompson,VGK,G,46,158728,4.56,123.56,119,-51.12,23.88,-5.29,2.65,7.21,0
8475156,2021,Mikko Koskinen,EDM,G,45,157718,-6.84,129.16,136,-1.92,173.64,-3.73,-4.61,1.5,4
8474889,2022,Martin Jones,SEA,G,48,157539,-6.92,124.08,131,-9.31,90.71,4.45,-10.74,-0.62,0
8479394,2021,Carter Hart,PHI,G,45,156184,-6.56,130.44,137,-12.74,199.92,-6.68,3.89,-3.77,0
8476945,2020,Connor Hellebuyck,WPG,G,45,156169,19.25,131.25,112,-14.35,154.75,10.44,2.86,5.96,0
8476341,2021,Anton Forsberg,OTT,G,46,154287,8.46,129.46,121,0.05,148.24,2.33,2.33,3.79,2
8480280,2023,Jeremy Swayman,BOS,G,44,153951,18.41,126.41,108,-44.97,75.02,3.92,5.95,8.54,0
8476434,2023,John Gibson,ANA,G,46,153689,-9.59,141.41,151,-57.19,84.59,-18.55,-3.02,11.98,2
8475215,2021,Robin Lehner,VGK,G,44,152799,6.07,126.07,120,-30.15,132.6,-3.89,3.54,6.42,0
8473503,2022,James Reimer,SJS,G,43,152280,-11.31,135.69,147,-32.48,183.46,-13.3,-7.73,9.71,2
8479406,2023,Filip Gustavsson,MIN,G,45,151593,-4.84,124.16,129,-8.74,111.16,-12.3,-0.27,7.73,0
8476883,2020,Andrei Vasilevskiy,T.B,G,42,151416,18.23,111.23,93,3.9,155.1,9.17,-2.82,11.88,0
8479312,2023,Alex Lyon,DET,G,44,149931,2.11,129.11,127,-35.63,12.01,-5.42,-9.41,16.94,2
